s:	0	15.41	148.55	0	
s:	1	18.91	144.05	0	
s:	2	26.41	137.55	0	
s:	3	13.91	151.05	0	
s:	4	17.41	146.55	1	
s:	5	11.91	146.05	0	
s:	6	20.41	145.05	1	
s:	7	11.41	146.55	0	
s:	8	18.91	141.05	0	
s:	9	11.91	146.55	1	
s:	10	23.41	138.55	0	
s:	11	19.41	145.05	0	
a:	50	97	0	7.38	Subterranea	
a:	50	106	0	7.38	Aerea	
a:	50	118	0	7.38	Aerea	
a:	51	25	0	14.08	Aerea	
a:	51	33	0	14.08	Subterranea	
a:	51	41	0	14.08	Aerea	
a:	51	47	0	14.08	Subterranea	
a:	51	100	0	14.4	Aerea	
a:	51	98	0	13.34	Subterranea	
a:	51	90	0	13.46	Aerea	
a:	51	19	0	12.26	Aerea	
a:	51	57	0	11.4	Subterranea	
a:	51	60	0	12.59	Aerea	
a:	52	2	0	21.91	Aerea	
a:	52	30	0	21.91	Aerea	
a:	52	82	0	21.48	Subterranea	
a:	52	104	0	21.36	Aerea	
a:	52	113	0	19.24	Aerea	
a:	52	116	0	19.01	Aerea	
a:	52	62	0	22.3	Subterranea	
a:	52	22	0	18.58	Aerea	
a:	52	95	0	21.91	Subterranea	
a:	52	108	0	21.91	Aerea	
a:	53	3	0	5	Aerea	
a:	53	20	0	5	Aerea	
a:	53	46	0	5	Subterranea	
a:	53	117	1	5.15	Subterranea	
a:	53	88	0	4.24	Subterranea	
a:	53	81	1	6.04	Subterranea	
a:	53	73	1	3.54	Aerea	
a:	53	99	0	4.3	Subterranea	
a:	53	66	0	4.72	Subterranea	
a:	53	72	1	5	Subterranea	
a:	53	74	1	5	Subterranea	
a:	53	97	0	5	Subterranea	
a:	54	0	0	7.76	Subterranea	
a:	54	4	1	7.76	Aerea	
a:	54	50	0	7.76	Subterranea	
a:	54	68	0	7.57	Subterranea	
a:	54	118	0	8.86	Aerea	
a:	54	87	1	8.63	Aerea	
a:	54	105	0	6.5	Subterranea	
a:	54	63	1	6.71	Subterranea	
a:	54	34	0	6.08	Aerea	
a:	54	83	0	7.76	Subterranea	
a:	54	103	0	7.76	Subterranea	
a:	54	106	0	7.76	Subterranea	
a:	54	112	1	7.76	Subterranea	
a:	54	114	1	7.76	Subterranea	
a:	55	8	0	11.85	Subterranea	
a:	55	18	0	11.85	Subterranea	
a:	55	35	0	11.85	Subterranea	
a:	55	48	0	11.85	Subterranea	
a:	55	49	0	11.85	Subterranea	
a:	55	78	0	12.3	Aerea	
a:	55	41	0	12.82	Subterranea	
a:	55	77	0	12.5	Aerea	
a:	55	90	0	13.46	Subterranea	
a:	55	58	0	10.12	Aerea	
a:	55	25	0	13.12	Subterranea	
a:	55	65	0	11.85	Subterranea	
a:	55	71	0	11.85	Aerea	
a:	55	100	0	11.85	Aerea	
a:	55	111	0	11.85	Subterranea	
a:	56	1	0	10.69	Aerea	
a:	56	6	0	10.69	Subterranea	
a:	56	11	0	10.69	Subterranea	
a:	56	19	0	10.69	Subterranea	
a:	56	59	0	10.55	Subterranea	
a:	56	110	0	11.67	Subterranea	
a:	56	57	0	11.4	Aerea	
a:	56	76	0	11.05	Subterranea	
a:	56	70	0	10.44	Aerea	
a:	56	93	0	9.55	Aerea	
a:	56	58	0	10.69	Subterranea	
a:	56	60	0	10.69	Aerea	
a:	56	84	0	10.69	Aerea	
a:	56	96	0	10.69	Subterranea	
a:	56	98	0	10.69	Aerea	
a:	56	114	0	10.69	Aerea	
a:	57	1	0	11.4	Subterranea	
a:	57	8	0	11.4	Aerea	
a:	57	19	1	11.4	Subterranea	
a:	57	25	0	11.4	Subterranea	
a:	57	41	0	11.4	Subterranea	
a:	57	51	0	11.4	Subterranea	
a:	57	56	0	11.4	Aerea	
a:	57	70	1	10.44	Subterranea	
a:	57	110	0	11.67	Aerea	
a:	57	58	1	10.12	Subterranea	
a:	57	98	0	13.34	Aerea	
a:	57	76	1	11.05	Aerea	
a:	57	96	0	9.34	Aerea	
a:	57	78	0	11.4	Aerea	
a:	57	84	0	11.4	Aerea	
a:	57	90	1	11.4	Aerea	
a:	57	100	0	11.4	Subterranea	
a:	58	8	0	10.12	Aerea	
a:	58	18	1	10.12	Subterranea	
a:	58	44	0	10.12	Aerea	
a:	58	49	1	10.12	Aerea	
a:	58	55	0	10.12	Aerea	
a:	58	57	1	10.12	Subterranea	
a:	58	70	1	10.44	Subterranea	
a:	58	84	0	9.19	Aerea	
a:	58	96	0	9.34	Subterranea	
a:	58	56	0	10.69	Subterranea	
a:	58	1	0	10.61	Subterranea	
a:	58	110	0	11.67	Aerea	
a:	58	64	1	10.12	Aerea	
a:	58	65	1	10.12	Aerea	
a:	58	78	0	10.12	Subterranea	
a:	59	1	0	10.55	Subterranea	
a:	59	6	0	10.55	Aerea	
a:	59	11	0	10.55	Aerea	
a:	59	28	0	10.55	Subterranea	
a:	59	56	0	10.55	Subterranea	
a:	59	76	0	11.05	Aerea	
a:	59	93	0	9.55	Aerea	
a:	59	114	0	9.5	Subterranea	
a:	59	110	0	11.67	Subterranea	
a:	59	80	0	9.01	Subterranea	
a:	59	92	0	9	Aerea	
a:	59	60	0	10.55	Subterranea	
a:	59	70	0	10.55	Subterranea	
a:	59	96	0	10.55	Aerea	
a:	60	6	1	12.59	Aerea	
a:	60	11	0	12.59	Aerea	
a:	60	19	1	12.59	Subterranea	
a:	60	51	0	12.59	Aerea	
a:	60	110	0	11.67	Subterranea	
a:	60	76	1	11.05	Aerea	
a:	60	98	0	13.34	Subterranea	
a:	60	1	0	10.61	Aerea	
a:	60	59	0	10.55	Subterranea	
a:	60	56	0	10.69	Aerea	
a:	61	38	0	4.03	Subterranea	
a:	61	39	0	4.03	Subterranea	
a:	61	72	0	5.59	Subterranea	
a:	61	75	0	6.32	Aerea	
a:	61	86	0	2.83	Aerea	
a:	61	46	0	4.47	Subterranea	
a:	61	74	0	5.7	Subterranea	
a:	61	69	0	5.7	Subterranea	
a:	61	79	0	4.03	Subterranea	
a:	61	89	0	4.03	Subterranea	
a:	61	107	0	4.03	Aerea	
a:	61	117	0	4.03	Aerea	
a:	62	2	0	22.3	Aerea	
a:	62	21	1	22.3	Subterranea	
a:	62	24	0	22.3	Aerea	
a:	62	29	1	22.3	Subterranea	
a:	62	52	0	22.3	Subterranea	
a:	62	104	1	21.36	Aerea	
a:	62	95	0	23.72	Subterranea	
a:	62	82	1	21.48	Aerea	
a:	62	67	1	22.07	Aerea	
a:	62	113	0	19.24	Aerea	
a:	62	30	0	21.71	Subterranea	
a:	62	108	1	22.3	Subterranea	
a:	62	116	1	22.3	Subterranea	
a:	63	0	0	6.71	Aerea	
a:	63	3	0	6.71	Aerea	
a:	63	23	1	6.71	Aerea	
a:	63	50	0	6.71	Subterranea	
a:	63	54	1	6.71	Subterranea	
a:	63	103	0	6.26	Aerea	
a:	63	105	0	6.5	Aerea	
a:	63	112	1	8.06	Aerea	
a:	63	106	0	5.7	Aerea	
a:	63	34	0	6.08	Subterranea	
a:	63	66	0	4.72	Subterranea	
a:	63	94	0	6.71	Aerea	
a:	63	97	0	6.71	Subterranea	
a:	63	115	1	6.71	Subterranea	
a:	63	118	0	6.71	Subterranea	
a:	64	12	1	6.96	Subterranea	
a:	64	15	0	6.96	Aerea	
a:	64	32	1	6.96	Aerea	
a:	64	44	0	6.96	Subterranea	
a:	64	45	1	6.96	Aerea	
a:	64	109	1	7.57	Aerea	
a:	64	84	0	9.19	Subterranea	
a:	64	96	0	9.34	Subterranea	
a:	64	83	0	7.5	Aerea	
a:	64	58	1	10.12	Aerea	
a:	64	80	0	9.01	Subterranea	
a:	65	12	1	9.6	Aerea	
a:	65	15	0	9.6	Subterranea	
a:	65	35	1	9.6	Aerea	
a:	65	18	1	10.06	Aerea	
a:	65	49	1	11.18	Subterranea	
a:	65	84	0	9.19	Aerea	
a:	65	77	1	12.5	Subterranea	
a:	65	55	0	11.85	Subterranea	
a:	65	58	1	10.12	Aerea	
a:	66	5	0	4.72	Subterranea	
a:	66	7	0	4.72	Subterranea	
a:	66	9	0	4.72	Subterranea	
a:	66	20	0	4.72	Aerea	
a:	66	23	0	4.72	Aerea	
a:	66	42	0	4.72	Aerea	
a:	66	53	0	4.72	Subterranea	
a:	66	63	0	4.72	Subterranea	
a:	66	99	0	4.3	Subterranea	
a:	66	88	0	4.24	Subterranea	
a:	66	73	0	3.54	Subterranea	
a:	66	103	0	6.26	Subterranea	
a:	66	106	0	5.7	Aerea	
a:	66	105	0	6.5	Aerea	
a:	66	85	0	4.72	Subterranea	
a:	66	115	0	4.72	Aerea	
a:	66	117	0	4.72	Subterranea	
a:	67	21	1	22.07	Subterranea	
a:	67	24	0	22.07	Subterranea	
a:	67	29	1	22.07	Aerea	
a:	67	62	1	22.07	Aerea	
a:	67	108	1	24.52	Subterranea	
a:	67	95	0	23.72	Subterranea	
a:	67	104	1	21.36	Subterranea	
a:	67	82	1	21.48	Subterranea	
a:	67	2	0	19.7	Subterranea	
a:	67	113	0	19.24	Aerea	
a:	68	0	0	7.57	Subterranea	
a:	68	4	0	7.57	Subterranea	
a:	68	34	0	7.57	Aerea	
a:	68	54	0	7.57	Subterranea	
a:	68	83	0	7.5	Aerea	
a:	68	87	0	8.63	Aerea	
a:	68	118	0	8.86	Aerea	
a:	68	92	0	9	Subterranea	
a:	68	109	0	7.57	Aerea	
a:	68	17	0	9.51	Aerea	
a:	68	105	0	7.57	Subterranea	
a:	68	106	0	7.57	Aerea	
a:	68	112	0	7.57	Aerea	
a:	68	114	0	7.57	Subterranea	
a:	68	115	0	7.57	Subterranea	
a:	69	14	0	5.7	Subterranea	
a:	69	36	0	5.7	Subterranea	
a:	69	38	0	5.7	Aerea	
a:	69	39	0	5.7	Aerea	
a:	69	40	0	5.7	Aerea	
a:	69	43	0	5.7	Subterranea	
a:	69	61	0	5.7	Subterranea	
a:	69	79	0	6.8	Subterranea	
a:	69	75	0	6.32	Subterranea	
a:	69	107	0	8.06	Subterranea	
a:	69	89	0	3.61	Aerea	
a:	69	86	0	2.83	Aerea	
a:	69	72	0	5.59	Subterranea	
a:	70	1	0	10.44	Aerea	
a:	70	8	0	10.44	Subterranea	
a:	70	18	1	10.44	Subterranea	
a:	70	44	0	10.44	Aerea	
a:	70	49	1	10.44	Subterranea	
a:	70	56	0	10.44	Aerea	
a:	70	57	1	10.44	Subterranea	
a:	70	58	1	10.44	Subterranea	
a:	70	96	0	9.34	Aerea	
a:	70	84	0	9.19	Subterranea	
a:	70	110	0	11.67	Subterranea	
a:	70	93	1	9.55	Aerea	
a:	70	19	1	12.26	Subterranea	
a:	70	59	0	10.55	Subterranea	
a:	71	35	0	13.2	Aerea	
a:	71	48	0	13.2	Aerea	
a:	71	77	0	12.5	Aerea	
a:	71	111	0	14.01	Aerea	
a:	71	55	0	11.85	Aerea	
a:	71	78	0	12.3	Aerea	
a:	71	49	0	11.18	Subterranea	
a:	71	8	0	11.42	Subterranea	
a:	72	38	1	5.59	Aerea	
a:	72	61	0	5.59	Subterranea	
a:	72	69	0	5.59	Subterranea	
a:	72	74	1	5.7	Subterranea	
a:	72	81	1	6.04	Aerea	
a:	72	117	1	5.15	Subterranea	
a:	72	46	0	4.47	Aerea	
a:	72	53	1	5	Subterranea	
a:	72	75	1	6.32	Subterranea	
a:	72	79	0	5.59	Subterranea	
a:	72	107	0	5.59	Aerea	
a:	73	5	0	3.54	Subterranea	
a:	73	7	0	3.54	Aerea	
a:	73	9	1	3.54	Aerea	
a:	73	20	0	3.54	Subterranea	
a:	73	42	0	3.54	Aerea	
a:	73	46	0	3.54	Subterranea	
a:	73	53	1	3.54	Aerea	
a:	73	66	0	3.54	Subterranea	
a:	73	88	0	4.24	Aerea	
a:	73	99	0	4.3	Aerea	
a:	73	117	1	5.15	Subterranea	
a:	73	115	1	4.53	Aerea	
a:	73	23	1	6.04	Subterranea	
a:	73	81	1	6.04	Subterranea	
a:	73	74	1	3.54	Subterranea	
a:	73	119	1	3.54	Subterranea	
a:	74	38	1	5.7	Aerea	
a:	74	46	0	5.7	Aerea	
a:	74	61	0	5.7	Subterranea	
a:	74	72	1	5.7	Subterranea	
a:	74	81	1	6.04	Aerea	
a:	74	117	1	5.15	Aerea	
a:	74	53	1	5	Subterranea	
a:	74	88	0	4.24	Aerea	
a:	74	73	1	3.54	Subterranea	
a:	74	97	0	7.43	Aerea	
a:	74	75	1	5.7	Aerea	
a:	75	36	0	6.32	Aerea	
a:	75	38	1	6.32	Subterranea	
a:	75	40	1	6.32	Subterranea	
a:	75	43	1	6.32	Aerea	
a:	75	61	0	6.32	Aerea	
a:	75	69	0	6.32	Subterranea	
a:	75	72	1	6.32	Subterranea	
a:	75	79	0	6.8	Aerea	
a:	75	107	0	8.06	Subterranea	
a:	75	14	0	7.91	Aerea	
a:	75	39	0	3.54	Subterranea	
a:	75	74	1	5.7	Aerea	
a:	75	86	0	2.83	Aerea	
a:	75	89	1	6.32	Aerea	
a:	76	1	0	11.05	Aerea	
a:	76	6	1	11.05	Aerea	
a:	76	11	0	11.05	Aerea	
a:	76	16	0	11.05	Subterranea	
a:	76	28	1	11.05	Aerea	
a:	76	56	0	11.05	Subterranea	
a:	76	57	1	11.05	Aerea	
a:	76	59	0	11.05	Aerea	
a:	76	60	1	11.05	Aerea	
a:	76	110	0	11.67	Aerea	
a:	76	93	1	9.55	Aerea	
a:	76	114	1	9.5	Subterranea	
a:	76	19	1	12.26	Aerea	
a:	76	80	0	9.01	Aerea	
a:	76	17	0	9.51	Aerea	
a:	76	92	0	11.05	Aerea	
a:	76	98	0	11.05	Subterranea	
a:	77	35	1	12.5	Aerea	
a:	77	48	0	12.5	Subterranea	
a:	77	55	0	12.5	Aerea	
a:	77	65	1	12.5	Subterranea	
a:	77	71	0	12.5	Aerea	
a:	77	111	0	14.01	Subterranea	
a:	77	78	0	12.3	Aerea	
a:	77	49	1	11.18	Subterranea	
a:	77	8	0	11.42	Aerea	
a:	77	18	1	10.06	Aerea	
a:	77	90	1	13.46	Aerea	
a:	78	8	0	12.3	Aerea	
a:	78	35	0	12.3	Subterranea	
a:	78	41	0	12.3	Aerea	
a:	78	48	0	12.3	Subterranea	
a:	78	49	0	12.3	Subterranea	
a:	78	55	0	12.3	Aerea	
a:	78	71	0	12.3	Aerea	
a:	78	77	0	12.3	Aerea	
a:	78	90	0	13.46	Subterranea	
a:	78	25	0	13.12	Aerea	
a:	78	18	0	10.06	Aerea	
a:	78	58	0	10.12	Subterranea	
a:	78	57	0	11.4	Aerea	
a:	78	100	0	14.4	Aerea	
a:	78	111	0	12.3	Subterranea	
a:	79	14	0	6.8	Aerea	
a:	79	36	0	6.8	Aerea	
a:	79	39	0	6.8	Subterranea	
a:	79	40	0	6.8	Aerea	
a:	79	43	0	6.8	Subterranea	
a:	79	69	0	6.8	Subterranea	
a:	79	75	0	6.8	Aerea	
a:	79	107	0	8.06	Subterranea	
a:	79	38	0	5.02	Aerea	
a:	79	89	0	3.61	Aerea	
a:	79	61	0	4.03	Subterranea	
a:	79	86	0	2.83	Subterranea	
a:	79	72	0	5.59	Subterranea	
a:	80	1	0	9.01	Aerea	
a:	80	4	0	9.01	Subterranea	
a:	80	11	0	9.01	Aerea	
a:	80	17	0	9.01	Subterranea	
a:	80	28	0	9.01	Aerea	
a:	80	59	0	9.01	Subterranea	
a:	80	64	0	9.01	Subterranea	
a:	80	76	0	9.01	Aerea	
a:	80	92	0	9	Subterranea	
a:	80	114	0	9.5	Aerea	
a:	80	93	0	9.55	Aerea	
a:	80	83	0	7.5	Aerea	
a:	80	109	0	7.57	Subterranea	
a:	80	96	0	9.34	Subterranea	
a:	80	87	0	9.01	Subterranea	
a:	81	3	0	6.04	Aerea	
a:	81	46	0	6.04	Subterranea	
a:	81	53	1	6.04	Subterranea	
a:	81	72	1	6.04	Aerea	
a:	81	73	1	6.04	Subterranea	
a:	81	74	1	6.04	Aerea	
a:	81	117	1	5.15	Aerea	
a:	81	97	0	7.43	Aerea	
a:	81	88	0	4.24	Subterranea	
a:	81	94	0	7.43	Subterranea	
a:	81	38	1	5.02	Aerea	
a:	81	99	0	4.3	Subterranea	
a:	82	2	0	21.48	Subterranea	
a:	82	29	1	21.48	Aerea	
a:	82	30	0	21.48	Aerea	
a:	82	37	0	21.48	Aerea	
a:	82	52	0	21.48	Subterranea	
a:	82	62	1	21.48	Aerea	
a:	82	67	1	21.48	Subterranea	
a:	82	104	1	21.36	Aerea	
a:	82	113	0	19.24	Subterranea	
a:	82	116	1	19.01	Aerea	
a:	82	22	0	18.58	Aerea	
a:	82	21	1	21.98	Aerea	
a:	82	95	0	23.72	Aerea	
a:	82	108	1	21.48	Aerea	
a:	83	4	0	7.5	Subterranea	
a:	83	34	0	7.5	Subterranea	
a:	83	45	0	7.5	Subterranea	
a:	83	64	0	7.5	Aerea	
a:	83	68	0	7.5	Aerea	
a:	83	80	0	7.5	Aerea	
a:	83	109	0	7.57	Aerea	
a:	83	92	0	9	Aerea	
a:	83	87	0	8.63	Subterranea	
a:	83	114	0	9.5	Aerea	
a:	83	54	0	7.76	Subterranea	
a:	83	17	0	9.51	Subterranea	
a:	83	93	0	7.5	Aerea	
a:	83	106	0	7.5	Aerea	
a:	83	118	0	7.5	Subterranea	
a:	84	8	0	9.19	Aerea	
a:	84	12	0	9.19	Subterranea	
a:	84	15	0	9.19	Subterranea	
a:	84	18	0	9.19	Subterranea	
a:	84	44	0	9.19	Subterranea	
a:	84	49	0	9.19	Aerea	
a:	84	58	0	9.19	Aerea	
a:	84	64	0	9.19	Subterranea	
a:	84	65	0	9.19	Aerea	
a:	84	70	0	9.19	Subterranea	
a:	84	96	0	9.34	Subterranea	
a:	84	56	0	10.69	Aerea	
a:	84	35	0	10.82	Subterranea	
a:	84	57	0	11.4	Aerea	
a:	84	93	0	9.55	Subterranea	
a:	84	109	0	7.57	Subterranea	
a:	85	5	0	3.54	Aerea	
a:	85	7	0	3.54	Subterranea	
a:	85	9	1	3.54	Aerea	
a:	85	26	1	3.54	Aerea	
a:	85	31	0	3.54	Subterranea	
a:	85	32	1	3.54	Subterranea	
a:	85	42	0	3.54	Aerea	
a:	85	45	1	3.54	Aerea	
a:	85	115	1	4.53	Subterranea	
a:	85	20	0	3.61	Aerea	
a:	85	106	0	5.7	Subterranea	
a:	85	34	0	6.08	Aerea	
a:	85	99	0	4.3	Aerea	
a:	85	66	0	4.72	Subterranea	
a:	85	119	1	3.54	Subterranea	
a:	86	39	0	2.83	Subterranea	
a:	86	61	0	2.83	Aerea	
a:	86	69	0	2.83	Aerea	
a:	86	75	0	2.83	Aerea	
a:	86	79	0	2.83	Subterranea	
a:	86	89	0	3.61	Subterranea	
a:	86	119	0	0	Aerea	
a:	86	36	0	6.02	Subterranea	
a:	86	31	0	0.5	Aerea	
a:	86	38	0	5.02	Aerea	
a:	86	46	0	4.47	Aerea	
a:	86	107	0	2.83	Subterranea	
a:	87	0	0	8.63	Subterranea	
a:	87	4	1	8.63	Aerea	
a:	87	13	0	8.63	Aerea	
a:	87	17	0	8.63	Aerea	
a:	87	54	1	8.63	Aerea	
a:	87	68	0	8.63	Aerea	
a:	87	83	0	8.63	Subterranea	
a:	87	118	0	8.86	Subterranea	
a:	87	92	0	9	Aerea	
a:	87	114	1	9.5	Subterranea	
a:	87	80	0	9.01	Subterranea	
a:	87	91	1	10.69	Subterranea	
a:	87	28	1	9.51	Aerea	
a:	87	109	1	8.63	Subterranea	
a:	87	112	1	8.63	Subterranea	
a:	88	7	0	4.24	Aerea	
a:	88	9	0	4.24	Aerea	
a:	88	20	0	4.24	Aerea	
a:	88	42	0	4.24	Subterranea	
a:	88	46	0	4.24	Subterranea	
a:	88	53	0	4.24	Subterranea	
a:	88	66	0	4.24	Subterranea	
a:	88	73	0	4.24	Aerea	
a:	88	74	0	4.24	Aerea	
a:	88	81	0	4.24	Subterranea	
a:	88	99	0	4.3	Aerea	
a:	88	117	0	5.15	Aerea	
a:	88	103	0	6.26	Subterranea	
a:	88	5	0	3.54	Subterranea	
a:	88	23	0	6.04	Aerea	
a:	88	115	0	4.53	Aerea	
a:	89	39	0	3.61	Subterranea	
a:	89	69	0	3.61	Aerea	
a:	89	79	0	3.61	Aerea	
a:	89	86	0	3.61	Subterranea	
a:	89	36	0	6.02	Aerea	
a:	89	61	0	4.03	Subterranea	
a:	89	119	1	0	Subterranea	
a:	89	38	1	5.02	Subterranea	
a:	89	31	0	0.5	Aerea	
a:	89	75	1	6.32	Aerea	
a:	89	107	0	3.61	Aerea	
a:	90	8	0	13.46	Subterranea	
a:	90	10	0	13.46	Aerea	
a:	90	25	0	13.46	Subterranea	
a:	90	41	0	13.46	Aerea	
a:	90	47	0	13.46	Aerea	
a:	90	48	0	13.46	Aerea	
a:	90	51	0	13.46	Aerea	
a:	90	55	0	13.46	Subterranea	
a:	90	77	1	13.46	Aerea	
a:	90	78	0	13.46	Subterranea	
a:	90	100	0	14.4	Aerea	
a:	90	98	0	13.34	Subterranea	
a:	90	57	1	11.4	Aerea	
a:	90	49	1	11.18	Aerea	
a:	90	19	1	12.26	Aerea	
a:	90	33	0	16.35	Aerea	
a:	90	102	0	13.46	Aerea	
a:	90	111	0	13.46	Subterranea	
a:	91	4	1	10.69	Aerea	
a:	91	13	0	10.69	Aerea	
a:	91	16	0	10.69	Subterranea	
a:	91	87	1	10.69	Subterranea	
a:	91	17	0	9.51	Aerea	
a:	91	118	0	8.86	Aerea	
a:	91	114	1	9.5	Aerea	
a:	91	92	0	9	Subterranea	
a:	91	11	0	11.01	Aerea	
a:	91	28	1	9.51	Subterranea	
a:	92	4	0	9	Aerea	
a:	92	11	0	9	Subterranea	
a:	92	17	0	9	Aerea	
a:	92	28	0	9	Subterranea	
a:	92	59	0	9	Aerea	
a:	92	68	0	9	Subterranea	
a:	92	80	0	9	Subterranea	
a:	92	83	0	9	Aerea	
a:	92	87	0	9	Aerea	
a:	92	91	0	9	Subterranea	
a:	92	114	0	9.5	Aerea	
a:	92	93	0	9.55	Subterranea	
a:	92	109	0	7.57	Subterranea	
a:	92	1	0	10.61	Aerea	
a:	92	76	0	11.05	Aerea	
a:	92	96	0	9.34	Aerea	
a:	92	118	0	9	Subterranea	
a:	93	1	0	9.55	Aerea	
a:	93	4	1	9.55	Subterranea	
a:	93	6	1	9.55	Aerea	
a:	93	11	0	9.55	Subterranea	
a:	93	17	0	9.55	Subterranea	
a:	93	28	1	9.55	Subterranea	
a:	93	56	0	9.55	Aerea	
a:	93	59	0	9.55	Aerea	
a:	93	70	1	9.55	Aerea	
a:	93	76	1	9.55	Aerea	
a:	93	80	0	9.55	Aerea	
a:	93	84	0	9.55	Subterranea	
a:	93	92	0	9.55	Subterranea	
a:	93	114	1	9.5	Aerea	
a:	93	96	0	9.34	Subterranea	
a:	93	109	1	7.57	Subterranea	
a:	93	44	0	8.38	Aerea	
a:	93	110	0	11.67	Aerea	
a:	93	83	0	7.5	Aerea	
a:	94	3	0	7.43	Subterranea	
a:	94	50	0	7.43	Aerea	
a:	94	81	0	7.43	Subterranea	
a:	94	97	0	7.43	Subterranea	
a:	94	112	0	8.06	Subterranea	
a:	94	103	0	6.26	Subterranea	
a:	94	63	0	6.71	Aerea	
a:	94	23	0	6.04	Aerea	
a:	94	0	0	7.62	Subterranea	
a:	94	117	0	7.43	Subterranea	
a:	95	21	0	23.72	Aerea	
a:	95	24	0	23.72	Subterranea	
a:	95	29	0	23.72	Subterranea	
a:	95	62	0	23.72	Subterranea	
a:	95	67	0	23.72	Subterranea	
a:	95	82	0	23.72	Aerea	
a:	95	104	0	21.36	Aerea	
a:	95	108	0	24.52	Subterranea	
a:	95	52	0	21.91	Subterranea	
a:	95	2	0	19.7	Subterranea	
a:	95	30	0	21.71	Aerea	
a:	95	113	0	19.24	Subterranea	
a:	96	44	0	9.34	Subterranea	
a:	96	57	0	9.34	Aerea	
a:	96	58	0	9.34	Subterranea	
a:	96	64	0	9.34	Subterranea	
a:	96	70	0	9.34	Aerea	
a:	96	80	0	9.34	Subterranea	
a:	96	84	0	9.34	Subterranea	
a:	96	92	0	9.34	Aerea	
a:	96	93	0	9.34	Subterranea	
a:	96	56	0	10.69	Subterranea	
a:	96	1	0	10.61	Subterranea	
a:	96	18	0	10.06	Subterranea	
a:	96	28	0	9.51	Subterranea	
a:	96	59	0	10.55	Aerea	
a:	96	109	0	7.57	Aerea	
a:	96	110	0	9.34	Aerea	
a:	96	114	0	9.34	Aerea	
a:	97	3	0	7.43	Aerea	
a:	97	74	0	7.43	Aerea	
a:	97	81	0	7.43	Aerea	
a:	97	94	0	7.43	Subterranea	
a:	97	50	0	7.38	Subterranea	
a:	97	53	0	5	Subterranea	
a:	97	112	0	8.06	Aerea	
a:	97	103	0	6.26	Subterranea	
a:	97	117	0	5.15	Aerea	
a:	97	63	0	6.71	Subterranea	
a:	98	6	0	13.34	Aerea	
a:	98	19	0	13.34	Subterranea	
a:	98	25	0	13.34	Aerea	
a:	98	41	0	13.34	Subterranea	
a:	98	51	0	13.34	Subterranea	
a:	98	57	0	13.34	Aerea	
a:	98	60	0	13.34	Subterranea	
a:	98	90	0	13.34	Subterranea	
a:	98	110	0	11.67	Aerea	
a:	98	100	0	14.4	Subterranea	
a:	98	47	0	15.04	Aerea	
a:	98	56	0	10.69	Aerea	
a:	98	76	0	11.05	Subterranea	
a:	98	1	0	10.61	Aerea	
a:	99	5	0	4.3	Subterranea	
a:	99	7	0	4.3	Aerea	
a:	99	9	0	4.3	Aerea	
a:	99	20	0	4.3	Subterranea	
a:	99	42	0	4.3	Subterranea	
a:	99	53	0	4.3	Subterranea	
a:	99	66	0	4.3	Subterranea	
a:	99	73	0	4.3	Aerea	
a:	99	81	0	4.3	Subterranea	
a:	99	85	0	4.3	Aerea	
a:	99	88	0	4.3	Aerea	
a:	99	23	0	6.04	Subterranea	
a:	99	103	0	6.26	Aerea	
a:	99	46	0	4.47	Aerea	
a:	99	106	0	5.7	Aerea	
a:	99	115	0	4.53	Subterranea	
a:	99	117	0	5.15	Subterranea	
a:	99	105	0	4.3	Subterranea	
a:	100	10	0	14.4	Subterranea	
a:	100	25	0	14.4	Subterranea	
a:	100	33	0	14.4	Aerea	
a:	100	41	0	14.4	Subterranea	
a:	100	47	0	14.4	Subterranea	
a:	100	51	0	14.4	Aerea	
a:	100	78	0	14.4	Aerea	
a:	100	90	0	14.4	Aerea	
a:	100	98	0	14.4	Subterranea	
a:	100	19	0	12.26	Aerea	
a:	100	48	0	14.15	Aerea	
a:	100	8	0	11.42	Aerea	
a:	100	55	0	11.85	Aerea	
a:	100	102	0	16.56	Aerea	
a:	100	57	0	11.4	Subterranea	
a:	100	113	0	14.4	Subterranea	
a:	100	116	0	14.4	Aerea	
a:	101	10	0	17.33	Subterranea	
a:	101	27	0	17.33	Subterranea	
a:	101	37	0	17.33	Subterranea	
a:	101	102	0	16.56	Subterranea	
a:	101	116	0	19.01	Aerea	
a:	101	33	0	16.35	Aerea	
a:	101	22	0	18.58	Aerea	
a:	101	48	0	14.15	Subterranea	
a:	101	111	0	14.01	Aerea	
a:	101	113	0	17.33	Subterranea	
a:	102	10	0	16.56	Aerea	
a:	102	22	0	16.56	Subterranea	
a:	102	27	0	16.56	Aerea	
a:	102	33	0	16.56	Aerea	
a:	102	37	0	16.56	Aerea	
a:	102	47	0	16.56	Subterranea	
a:	102	100	0	16.56	Aerea	
a:	102	101	0	16.56	Subterranea	
a:	102	116	0	19.01	Subterranea	
a:	102	48	0	14.15	Aerea	
a:	102	113	0	19.24	Subterranea	
a:	102	111	0	14.01	Subterranea	
a:	102	2	0	19.7	Aerea	
a:	102	90	0	13.46	Aerea	
a:	103	0	0	6.26	Subterranea	
a:	103	3	0	6.26	Subterranea	
